# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C 100 173
C -100 173
C 0 0

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 69 192 -66 348 422.606
0 100 173 -83 113 395.17
0 50 253 -15 264 141.848
0 2 41 88 287 531.199
0 17 180 189 -22 540.615
0 148 198 116 68 277.761
0 218 288 97 155 369.611
0 65 132 126 75 176.973
0 -38 379 169 -31 928.584
0 -44 165 59 206 231.721
1 -100 173 -191 274 281.897
1 -17 116 -69 160 146.235
1 -334 341 57 373 794.615
1 -167 64 -61 285 500.212
1 -132 153 -170 429 567.207
1 -114 300 -131 355 125.135
1 56 126 -109 303 493.959
1 -45 -84 -47 178 534.015
1 -52 -9 -282 183 609.213
1 -233 316 -310 260 200.421
2 -22 -5 32 -10 118.462
2 13 48 -56 -136 403.024
2 -81 48 179 26 531.858
2 -204 114 -30 42 386.617
2 235 135 81 195 340.551
2 -12 119 1 3 243.452
2 193 -78 -50 13 528.961
2 130 -226 20 -92 356.733
2 128 -236 -17 134 804.796
2 25 -22 67 145 354.401
