# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 10
T 1000

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C 100 173
C -100 173
C 0 0

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 108 149 -27 244 340.151 4
0 86 199 42 108 212.158 7
0 215 159 91 162 258.073 8
0 77 113 260 143 380.885 6
0 193 317 180 188 269.307 4
0 100 23 151 173 326.866 6
0 -35 56 60 51 200.263 7
0 271 248 154 43 482.076 3
0 112 154 75 154 84 10
0 27 328 134 194 352.958 2
1 -128 130 -173 187 155.245 3
1 -2 167 -134 191 278.328 8
1 4 67 -94 175 301.671 1
1 -113 152 -99 174 62.1536 10
1 -77 163 -88 227 139.877 4
1 41 127 -77 162 256.163 7
1 -245 53 27 142 582.381 1
1 -7 263 -100 173 268.836 7
1 -39 58 -76 129 170.125 3
1 -91 158 -95 172 39.1204 7
2 10 -114 -60 -159 176.433 2
2 25 -175 -40 28 436.305 9
2 53 19 0 -15 135.936 8
2 -3 -4 23 -79 168.758 10
2 11 50 -105 -22 283.057 3
2 57 -68 29 -61 67.7235 1
2 61 -64 2 -3 179.729 3
2 109 -26 33 -175 344.527 4
2 -121 -40 -72 -2 134.016 8
2 -54 111 -11 -107 454.401 6
