# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 10
T 1000

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C 100 173
C -100 173
C 0 0

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 48 181 27 135 111.134 4
0 -4 174 116 208 259.447 7
0 62 42 26 158 252.916 8
0 76 190 -79 137 337.622 6
0 177 149 128 119 124.909 4
0 -3 320 11 189 273.492 6
0 130 157 148 194 92.2922 7
0 199 234 124 160 220.723 3
0 -12 199 28 105 214.313 10
0 224 72 191 48 91.6088 2
1 92 210 -74 354 449.509 3
1 -178 342 -53 73 603.249 8
1 -149 223 -55 173 222.941 1
1 -137 234 -43 219 200.379 10
1 -92 177 53 257 341.21 4
1 -212 133 -101 173 245.975 7
1 -90 159 -104 180 60.4777 1
1 -233 117 -198 324 429.876 7
1 27 100 -112 53 303.462 3
1 -65 180 -253 167 386.898 7
2 -148 -50 46 99 499.232 2
2 -45 76 53 -71 363.344 9
2 6 -14 -19 81 206.469 8
2 -79 -93 103 68 495.984 10
2 -92 8 -20 -12 159.452 3
2 0 0 -48 68 176.469 1
2 -69 -25 26 21 221.102 3
2 -76 119 -5 -16 315.064 4
2 -91 12 22 24 237.271 8
2 11 -11 -159 -93 387.486 6
