# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 10
T 1200

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C 100 173
C -100 173
C 0 0

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 -30 258 17 268 106.104 4
0 90 -8 -14 212 496.687 7
0 36 143 31 228 180.294 8
0 100 44 135 197 323.904 6
0 192 78 99 233 371.519 4
0 99 163 79 177 58.8262 6
0 102 126 105 146 50.4475 7
0 183 151 80 180 224.009 3
0 199 307 228 267 108.813 10
0 63 92 77 76 52.5206 2
1 -102 174 -106 116 126.276 3
1 12 93 -95 203 316.914 8
1 -30 69 -27 143 158.122 1
1 -6 243 38 95 318.804 10
1 -97 160 -130 267 233.946 4
1 -29 240 -62 88 321.082 7
1 -117 160 -23 84 251.76 1
1 -64 93 -93 349 525.275 7
1 -220 276 67 227 592.306 3
1 -53 248 -164 211 244.009 7
2 122 97 -16 102 286.181 2
2 -156 37 30 -190 596.941 9
2 1 50 -15 21 76.242 8
2 82 -83 -60 -154 327.522 10
2 69 40 17 -154 411.696 3
2 -53 5 83 141 394.666 1
2 -12 19 -14 -1 50.1995 3
2 -51 3 20 76 213.666 4
2 148 -14 -35 -2 376.786 8
2 -145 135 81 26 511.825 6
