# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 15
T 1200

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C -200 -100
C -200 100
C 0 -100
C 0 100
C 200 -100
C 200 100

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 -265 -150 -310 -181 119.289 4
0 -14 -147 -82 -26 287.597 7
0 -340 -94 -174 -130 349.718 8
0 -220 26 -45 -109 452.041 6
0 -295 -13 -204 -50 206.469 4
0 -74 -211 -157 -37 395.565 6
0 -278 -191 -310 -71 258.387 7
0 -144 -177 -298 -213 326.304 3
0 -154 -122 -172 -82 97.7269 10
0 -152 -8 -192 -119 245.975 2
0 -134 -125 -295 -85 341.789 3
0 -193 75 -225 -136 436.826 8
0 -49 -126 -291 -263 566.176 1
0 -46 -188 -175 -123 298.901 10
0 -82 30 -320 41 486.508 4
1 -214 231 -119 163 243.658 7
1 -188 113 -325 89 288.173 1
1 -231 20 -223 -97 244.546 7
1 -396 118 -211 118 380 3
1 -201 104 -362 164 353.634 7
1 -254 159 -147 41 328.578 2
1 -209 97 -223 1 204.031 9
1 -255 -23 -82 -41 357.868 8
1 -115 212 -161 85 280.148 10
1 -132 43 -225 162 312.06 3
1 -323 123 -227 13 302 1
1 -203 62 -379 133 389.563 3
1 -143 132 -189 -3 295.244 4
1 -108 36 -217 77 242.912 8
1 -207 -78 -211 89 344.096 6
2 -4 -54 -13 23 165.048 10
2 -97 -128 -4 -297 395.798 3
2 -59 -114 133 -103 394.63 3
2 36 -86 25 -68 52.19 9
2 138 -93 62 -42 193.052 10
2 -154 -100 73 36 539.245 8
2 -130 38 125 -45 546.336 4
2 57 -130 -116 -33 406.676 7
2 -120 -43 -3 -100 270.292 2
2 127 2 86 -98 226.157 3
2 -19 -34 129 2 314.631 10
2 175 -85 58 -67 246.753 4
2 21 38 51 -194 477.863 2
2 56 -180 -151 -33 517.772 10
2 -168 -175 10 -142 372.066 5
3 -5 80 -17 144 140.231 8
3 -1 103 4 104 20.198 9
3 142 199 149 139 130.814 5
3 93 205 -88 34 508.004 6
3 -156 100 -70 245 347.171 1
3 147 3 1 103 363.927 4
3 143 95 39 -47 362.023 7
3 14 96 63 220 276.661 2
3 -23 173 -80 13 349.7 1
3 -23 146 38 163 136.649 7
3 -24 288 -59 269 89.6492 4
3 -59 126 -37 65 139.692 3
3 -91 60 153 104 505.871 1
3 75 241 -16 156 259.046 7
3 18 -26 3 295 652.701 2
4 121 -210 243 -29 446.555 6
4 196 -89 209 -135 105.603 6
4 246 75 219 94 76.0303 5
4 46 -87 147 37 329.856 8
4 199 -90 186 -98 40.5287 7
4 94 -134 239 -85 316.111 6
4 200 -100 314 -201 314.611 7
4 295 -172 213 -90 241.931 10
4 23 -92 199 -100 362.363 4
4 366 -179 323 -209 114.862 8
4 198 -107 209 -158 114.346 5
4 269 -208 232 -39 356.006 6
4 218 -103 192 -149 115.679 3
4 309 -69 274 -21 128.811 6
4 146 40 318 -9 367.687 5
5 201 127 194 109 48.6264 8
5 201 101 68 -15 362.959 5
5 196 6 255 149 319.386 5
5 152 -17 157 180 404.127 4
5 206 250 201 107 296.175 1
5 176 -11 235 103 266.726 8
5 89 141 254 131 340.605 9
5 58 112 200 100 295.012 7
5 203 67 188 295 466.986 9
5 105 42 321 102 458.357 9
5 304 182 271 187 76.7533 5
5 230 19 171 283 551.025 4
5 194 98 186 87 37.2029 2
5 257 198 185 33 370.05 5
5 84 64 315 206 552.31 10
