# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 15
T 1000

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C -200 -100
C -200 100
C 0 -100
C 0 100
C 200 -100
C 200 100

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 -74 -56 -140 -210 345.094 4
0 -93 -141 -283 -104 397.138 7
0 -153 3 -185 -109 242.964 8
0 -235 -142 -237 -87 120.073 6
0 -197 -109 -151 -125 107.406 4
0 -195 -132 -211 -106 71.0574 6
0 -158 -79 -143 -43 88 7
0 -205 -114 -230 -8 227.816 3
0 -206 -44 -220 29 158.661 10
0 -177 -50 -201 -173 260.639 2
0 -180 -153 -266 -210 216.349 3
0 -281 -156 -195 -163 182.569 8
0 -122 -148 -190 -95 182.43 1
0 -215 -109 -127 -68 204.165 10
0 -314 -40 -138 -96 379.389 4
1 -242 123 -131 65 260.48 7
1 -198 104 -75 89 257.823 1
1 -117 27 -302 -6 385.84 7
1 -76 158 -236 50 396.078 3
1 -301 88 -204 61 211.375 7
1 -117 106 -152 65 117.815 2
1 -217 157 -262 25 288.919 9
1 -214 100 -267 15 210.34 8
1 -291 160 -157 -10 442.925 10
1 -131 4 -144 95 193.848 3
1 -202 97 -255 143 150.357 1
1 -298 146 -65 118 479.353 3
1 -304 147 -132 59 396.409 4
1 -188 205 -259 -4 451.461 8
1 -249 190 -279 114 173.414 6
2 -113 -132 97 -2 503.964 10
2 -37 -84 4 -83 92.0244 3
2 -39 -105 110 -114 308.543 3
2 76 -48 26 -104 160.147 9
2 36 -132 -42 -179 192.132 10
2 -14 -93 25 -82 91.0432 8
2 8 -172 -60 -30 324.884 4
2 6 -78 -124 -134 293.097 7
2 1 -107 18 -66 98.7694 2
2 33 -177 -9 -100 185.419 3
2 -1 -80 48 -215 297.235 10
2 -14 -23 23 -156 286.101 4
2 23 -44 39 -70 71.0574 2
2 64 -30 0 -103 204.165 10
2 -80 -191 -110 -109 184.631 5
3 72 123 -22 109 200.074 8
3 -63 2 78 199 494.52 9
3 11 105 -101 83 238.281 5
3 -34 102 -48 -17 249.641 6
3 -25 111 27 -24 299.337 1
3 -29 55 21 195 307.321 4
3 1 94 -30 33 146.85 7
3 79 212 41 104 238.98 2
3 -115 114 -123 84 72.0967 1
3 -29 -10 -75 160 362.227 7
3 -16 8 89 8 220 4
3 91 88 61 77 73.9062 3
3 -82 -15 85 82 396.254 1
3 41 -13 46 176 388.132 7
3 -77 57 0 102 188.37 2
4 226 -43 140 -103 219.724 6
4 141 -188 88 -5 391.041 6
4 204 -96 260 -92 122.285 5
4 194 -97 80 -59 250.333 8
4 122 -15 91 -185 355.607 7
4 292 -38 265 -93 132.54 6
4 267 -87 196 -140 187.2 7
4 214 -105 157 -74 139.769 10
4 273 -140 210 -100 159.251 4
4 202 -237 155 2 497.155 8
4 326 -29 192 -119 332.837 5
4 155 -68 196 -66 92.0975 6
4 251 36 301 -107 312.979 3
4 205 -246 187 -110 284.372 6
4 166 -70 239 -85 159.05 5
5 178 70 210 68 74.1249 8
5 282 73 122 37 338 5
5 80 172 168 83 260.32 5
5 199 94 152 221 280.836 4
5 208 100 220 110 41.241 1
5 244 93 233 -41 278.901 8
5 219 82 288 -3 228.961 9
5 196 99 204 -27 262.507 7
5 185 96 179 29 144.536 9
5 203 115 203 98 44 9
5 204 30 229 119 194.889 5
5 157 117 222 161 166.984 4
5 245 77 296 62 116.32 2
5 180 73 114 119 170.897 5
5 200 100 197 100 16 10
