# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 15
T 1750

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C 200 0
C 100 173
C -99 173
C -200 0
C -100 -173
C 100 -173

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 99 50 476 -54 792.164 4
0 192 -27 199 -80 116.921 7
0 337 179 205 12 435.737 8
0 281 11 188 19 196.687 6
0 419 -90 233 -94 382.086 4
0 234 -49 392 200 599.797 6
0 196 -86 431 -44 487.447 7
0 289 -121 -6 -42 620.79 3
0 219 -49 494 35 585.086 10
0 154 136 186 8 273.879 2
0 309 163 156 -127 665.771 3
0 145 -215 -49 74 706.152 8
0 451 -97 176 -19 581.696 1
0 235 -22 189 7 118.757 10
0 224 -60 201 2 142.257 4
1 86 470 229 147 716.479 7
1 -18 122 27 215 216.63 1
1 -26 91 224 181 541.413 7
1 94 160 185 -101 562.818 3
1 -40 227 59 -22 545.918 7
1 158 -114 98 182 614.04 2
1 105 464 52 267 418.01 9
1 112 141 21 186 213.037 8
1 34 305 41 203 214.48 10
1 97 185 -154 87 548.906 3
1 134 223 38 119 293.069 1
1 2 437 -94 244 441.115 3
1 64 131 5 134 128.152 4
1 -170 176 324 19 1046.7 8
1 73 135 132 316 390.747 6
2 -93 139 14 215 272.488 10
2 -108 178 -162 -2 385.851 3
2 -22 254 -134 -13 589.079 3
2 -132 -70 -21 424 1022.63 9
2 -202 377 -155 -6 781.746 10
2 -91 179 39 289 350.588 8
2 -297 242 -133 204 346.69 4
2 -89 202 70 141 350.599 7
2 -122 121 -104 155 86.9415 2
2 -177 -59 81 -45 526.759 3
2 -78 186 -121 396 438.714 10
2 -126 -31 39 207 589.203 4
2 -102 163 -249 359 500 2
2 31 -30 -68 -103 256.008 10
2 -62 -43 -337 114 643.321 5
3 -149 -86 -452 107 728.493 8
3 -316 -47 -64 2 523.439 9
3 -99 -260 -53 -147 254.008 5
3 -167 -146 -200 0 309.366 6
3 -63 -124 -212 136 609.336 1
3 -200 0 -360 229 568.716 4
3 -279 244 -188 -61 646.572 7
3 -210 -4 -364 119 404.183 2
3 -119 16 -178 14 128.068 1
3 -122 213 -182 39 378.109 7
3 -154 79 -185 117 108.082 4
3 -94 60 -373 -131 686.231 3
3 -190 43 -185 24 49.2938 1
3 -215 8 -197 -8 58.1664 7
3 -216 21 -112 -59 272.42 2
4 5 70 57 -358 872.295 6
4 -93 -451 -286 -34 928.995 6
4 -88 -108 9 -217 301.822 5
4 -96 -127 68 -254 424.849 8
4 -30 -123 170 -179 425.384 7
4 -34 -43 -315 -249 706.841 6
4 -291 28 -40 -144 618.556 7
4 -176 -281 -286 -194 290.492 10
4 -123 -178 -81 -161 100.62 4
4 39 -227 -15 -243 122.641 8
4 57 -195 -113 -187 350.376 5
4 39 -192 -74 -27 409.97 6
4 -156 0 48 -380 872.591 3
4 -80 -208 -68 -103 221.367 6
4 -279 -178 -95 -363 531.847 5
5 238 -265 -74 -93 722.539 8
5 110 -181 -14 -123 283.788 5
5 196 -157 -142 -347 785.484 5
5 114 -142 -10 -6 378.087 4
5 110 -150 89 -159 55.6946 1
5 -171 -155 148 -284 698.192 8
5 29 -188 -75 -73 320.103 9
5 210 -274 139 -133 325.734 7
5 -14 -234 18 -219 80.6824 9
5 20 5 -5 -206 434.952 9
5 -190 -224 52 -255 497.955 5
5 113 -13 248 -5 280.474 4
5 93 -153 162 -48 261.285 2
5 125 -121 -153 -119 566.014 5
5 -22 -211 62 -247 192.779 10
