FID,ABSCHNITT_ZUGANG_STR,ACD,AP_TIMESTAMP_MODIFY,BST_BEZEICHNUNG,BST_NUMMER,BST_NUMMER_ALPHA,BST_NUMMER_NUM,BST_TRENNZEICHEN,BST_TRENNZ_KURZTEXT,EDGEOBJECTID_ZUGANG_STR,EXTERNALORGCODE,GEBADR_ANZEIGEN_J_N,GEBADR_REGIONALCODE,GEB_BAUBLOCK,GEB_BAUBLOCK_ID,GEB_BEZEICHNUNG,GEB_BEZIRK,GEB_NAMECAT,GEB_NUMMER,GEB_NUMMER_ALPHA,GEB_NUMMER_NUM,GEB_OBJEKTID,GEB_STATUS,GEB_STATUS_KURZTEXT,GEB_TIMESTAMP_MODIFY,GEB_TRENNZEICHEN,GEB_TRENNZ_KURZTEXT,GEB_WINKEL,GEB_X,GEB_Y,HAUPT_IDENT_PSEUDO,LAGE_ZU_ADR,LAGE_ZU_ADR_TXT,NAME,NAME_BST,NAME_BST_GEB,NAME_GEB,NAME_ONR,NAME_ONR_BST_GEB,NAME_STR,OBJECTID,OBJEKT_ID,OBJEKTID_NAME_STR,ON_BIS_ALPHA,ON_BIS_NUM,ONR_BIS,ONR_VON,ON_VON_ALPHA,ON_VON_NUM,PLATZKENNZEICHEN,PLZ,SCD_NAME_STR,SCD_ZUGANG_STR,SE_ANNO_CAD_DATA,geometry,STRABS_ZUGANG_STR,STRASSENSEITE,TOPOGR_NAME_STR,UEBERACD,ZUGADR_ONR_KGNUM,ZUGADR_ONR_STAMMNR,ZUGADR_ONR_TEILNR,ZUGADR_REGIONALCODE,ZUGADR_TYP,ZUGANG_MOEGLICH_J_N,ZUG_BEZIRK,ZUG_OBJEKTID,ZUG_TIMESTAMP_MODIFY,ZUG_TRENNZEICHEN,ZUG_TRENNZ_KURZTEXT,ZUG_WINKEL,ZUG_X,ZUG_Y,ABLAUFDATUM
ADRESSENOGD.fid--6deaaebc_17da472a163_317d,1009,120234,2007-07-24,,,,,,,10042053,90001,1,AT91401,14112011,10016679,,14,8012,,,,25674573,d,definitiv,2008-12-10,0, ,339.3500061,-6950.44,340824.27,H, ,Normal,Schützensteig 4,, ,,4,4,Schützensteig,236569902,10224870,10004282,,,,4,,4.0,2.0,1140,4379,4379,,POINT (48.20578068688851 16.23862470960616),4379001009,2.0,G  ,,,,,AT91401,0,1,14,25010775,2008-12-10,0, ,341.12,-6948.36,340813.47,
ADRESSENOGD.fid--6deaaebc_17da467791b_-647,2009,21209,2007-07-24,,,,,,,10037084,90001,1,AT91001,10141002,10014049,,10,8012,,,,25662270,d,definitiv,2008-12-10,0, ,69.98000336,3814.3,335138.44,H, ,Normal,Medeagasse 10,, ,,10,10,Medeagasse,236398338,10085881,10003079,,,,10,,10.0,2.0,1100,3150,3150,,POINT (48.15467814645689 16.38340438533943),3150002009,2.0,G  ,,,,,AT91001,0,1,10,25001879,2008-12-10,0, ,72.46,3817.0,335142.87,
ADRESSENOGD.fid--6deaaebc_17da467791b_7b24,1209,102431,2011-12-22,,,,,,,18810048,90001,1,AT91101,11080015,10014807,,11,8012,,,,25683742,d,definitiv,2008-12-10,0, ,336.89001465,8018.08,338312.53,H, ,Normal,Simmeringer Lände 52,, ,,52,52,Simmeringer Lände,236604461,10202410,10004437,,,,52,,52.0,2.0,1110,4536,4536,,POINT (48.18318646181851 16.4399625570655),4536001209,2.0,G  ,,,,,AT91101,0,1,11,25074295,2011-12-22,0, ,336.48,8031.79,338280.62,
ADRESSENOGD.fid--6deaaebc_17da472a163_-3c2,3009,254269,2021-07-20,,,,,,,10024079,90001,1,AT91401,14080004,10016477,,14,8012,,,,25787664,i,in Bau,2021-07-20,0, ,59.45999908,-4672.47,340721.3,I, ,Normal,An der Niederhaid 10,, ,,10,10,An der Niederhaid,236376551,25787667,10000168,,,,10,,10.0,2.0,1140,178,178,,POINT (48.20487655315107 16.26927322801247),178003009,2.0,G  ,,,,,AT91401,0,1,14,25109163,2008-12-10,0, ,15.84,-4665.34,340693.34,
ADRESSENOGD.fid-705841fe_17da473f28d_f41,2009,228534,2010-09-22,,,,,,,10024857,90001,1,AT92101,21120008,10019978,,21,8012,2,,2.0,25690510,d,definitiv,2010-09-22,6,Haus,62.38999939,5478.36,349688.53,H, ,Normal,Babitschgasse 34 Haus 2,, Haus 2,Haus 2,34,34 Haus 2,Babitschgasse,236519638,10479893,10000310,,,,34,,34.0,2.0,1210,321,321,,POINT (48.2855185155145 16.40594769817952),321002009,,G  ,,,,,AT92101,0,1,21,25690492,2009-01-27,0, ,62.39,5463.2,349694.41,
ADRESSENOGD.fid--6deaaebc_17da472a163_6d4e,1009,48572,2007-07-24,,,,,,,10040026,90001,1,AT91601,16041001,10017444,,16,8012,,,,25678252,d,definitiv,2008-12-10,0, ,81.93000031,-1302.91,341703.29,H, ,Normal,Redtenbachergasse 3,, ,,3,3,Redtenbachergasse,236407742,10126756,10003805,,,,3,,3.0,2.0,1160,3886,3886,,POINT (48.21372523823405 16.31460213389715),3886001009,1.0,G  ,,,,,AT91601,0,1,16,25087850,2008-12-10,0, ,81.35,-1299.65,341712.94,
ADRESSENOGD.fid-705841fe_17da474b376_-3558,19009,145575,2007-07-24,,,,,,,10045637,90001,1,AT92201,22040039,10020871,,22,8012,,,,25639074,d,definitiv,2008-12-10,0, ,76.19999695,15046.38,343889.21,I, ,Normal,Wehrbrücklstraße 196,, ,,196,196,Wehrbrücklstraße,236517140,10257655,10005091,,,,196,,196.0,2.0,1220,5196,5196,,POINT (48.23321424594781 16.53467165033507),5196019009,2.0,G  ,,,,,AT92201,0,1,22,25049756,2008-12-10,0, ,75.46,15039.6,343879.28,
ADRESSENOGD.fid-705841fe_17da459ca88_5bca,2709,184680,2010-11-09,,,,,,,18796048,90001,1,AT91701,17052041,10444306,,17,8012,,,,25553713,d,definitiv,2008-12-10,0, ,344.51998901,-3673.74,343617.45,H, ,Normal,Plachygasse 89,, ,,89,89,Plachygasse,236535815,10307025,10003619,,,,89,,89.0,2.0,1170,3699,3699,,POINT (48.2309292509001 16.28268261551174),3699002709,1.0,G  ,,,,,AT91701,0,1,17,25019868,2010-11-09,0, ,331.12,-3665.67,343624.64,
ADRESSENOGD.fid-705841fe_17da474b376_-2adf,2009,218157,2012-09-27,,2,,2.0,5.0,Gruppe,10024034,90001,1,AT92201,22051037,10020955,,22,8012,33,,33.0,25578582,d,definitiv,2012-09-27,10,Parz.,0.0,11658.46,343297.64,I, ,Normal,An den alten Schanzen 41 Gruppe 2 Parz. 33,Gruppe 2,Gruppe 2 Parz. 33,Parz. 33,41,41 Gruppe 2 Parz. 33,An den alten Schanzen,236540248,10401577,10000156,,,,41,,41.0,2.0,1220,166,166,,POINT (48.22796388377861 16.48905122471083),166002009,1.0,G  ,,,,,AT92201,0,1,22,25054960,2008-12-10,0, ,344.61,11604.91,343168.01,
ADRESSENOGD.fid-705841fe_17da474b376_-1ba0,4019,231229,2021-01-15,,,,,,,10463907,90001,1,AT92201,22020114,10473905,,22,8012,,,,25712788,d,definitiv,2021-01-15,0, ,317.17999268,12076.98,346523.7,H, ,Normal,Pelargonienweg 34A,, ,,34A,34A,Pelargonienweg,236556395,25712805,10003530,,,,34A,A,34.0,2.0,1220,3609,3609,,POINT (48.25696864692391 16.49477395434858),3609004019,,G  ,,,,,AT92201,0,1,22,25712789,2010-11-02,0, ,317.18,12078.19,346533.43,
