FID,ABSCHNITT_ZUGANG_STR,ACD,AP_TIMESTAMP_MODIFY,BST_BEZEICHNUNG,BST_NUMMER,BST_NUMMER_ALPHA,BST_NUMMER_NUM,BST_TRENNZEICHEN,BST_TRENNZ_KURZTEXT,EDGEOBJECTID_ZUGANG_STR,EXTERNALORGCODE,GEBADR_ANZEIGEN_J_N,GEBADR_REGIONALCODE,GEB_BAUBLOCK,GEB_BAUBLOCK_ID,GEB_BEZEICHNUNG,GEB_BEZIRK,GEB_NAMECAT,GEB_NUMMER,GEB_NUMMER_ALPHA,GEB_NUMMER_NUM,GEB_OBJEKTID,GEB_STATUS,GEB_STATUS_KURZTEXT,GEB_TIMESTAMP_MODIFY,GEB_TRENNZEICHEN,GEB_TRENNZ_KURZTEXT,GEB_WINKEL,GEB_X,GEB_Y,HAUPT_IDENT_PSEUDO,LAGE_ZU_ADR,LAGE_ZU_ADR_TXT,NAME,NAME_BST,NAME_BST_GEB,NAME_GEB,NAME_ONR,NAME_ONR_BST_GEB,NAME_STR,OBJECTID,OBJEKT_ID,OBJEKTID_NAME_STR,ON_BIS_ALPHA,ON_BIS_NUM,ONR_BIS,ONR_VON,ON_VON_ALPHA,ON_VON_NUM,PLATZKENNZEICHEN,PLZ,SCD_NAME_STR,SCD_ZUGANG_STR,SE_ANNO_CAD_DATA,geometry,STRABS_ZUGANG_STR,STRASSENSEITE,TOPOGR_NAME_STR,UEBERACD,ZUGADR_ONR_KGNUM,ZUGADR_ONR_STAMMNR,ZUGADR_ONR_TEILNR,ZUGADR_REGIONALCODE,ZUGADR_TYP,ZUGANG_MOEGLICH_J_N,ZUG_BEZIRK,ZUG_OBJEKTID,ZUG_TIMESTAMP_MODIFY,ZUG_TRENNZEICHEN,ZUG_TRENNZ_KURZTEXT,ZUG_WINKEL,ZUG_X,ZUG_Y,ABLAUFDATUM
ADRESSENOGD.fid--6deaaebc_17da4737f8e_-30b4,509,217882,2007-07-24,,,,,,,10399167,90001,1,AT92301,23050032,10022562,,23,8012,16,,16.0,25638052,d,definitiv,2008-12-10,2,/,338.1499939,-917.36,332700.19,I, ,Normal,Wienerflurgasse 1/16,,/16,/16,1,1/16,Wienerflurgasse,236465614,10399441,10005179,,,,1,,1.0,2.0,1230,5286,5286,,POINT (48.13275874216568 16.31981575840154),5286000509,1.0,G  ,217928.0,,,,AT92301,0,1,23,25124192,2021-10-29,0, ,342.14,-965.26,332686.74,
ADRESSENOGD.fid-705841fe_17da473f28d_5eed,4009,110690,2007-07-24,,,,,,,10027664,90001,1,AT92201,22092001,10021263,,22,8012,5,,5.0,25628920,d,definitiv,2008-12-10,3,Stg.,9.43000031,7882.91,347022.23,I, ,Normal,Eipeldauer Straße 21-25/5,, Stg. 5,Stg. 5,21-25,21-25/5,Eipeldauer Straße,236371109,10213000,10000983,,25.0,25,21,,21.0,2.0,1220,1020,1020,,POINT (48.2615160160124 16.43830056513191),1020004009,1.0,G  ,205804.0,,,,AT92201,0,1,22,25069247,2008-12-10,1,-,295.8,7831.15,346978.93,
ADRESSENOGD.fid-705841fe_17da474b376_e55,2009,247546,2021-06-08,,,,,,,18900030,90001,1,AT92201,22054114,19019280,,22,8012,,,,25766640,i,in Bau,2021-10-29,0, ,8.02000046,13100.0,343487.93,H, ,Normal,Barbara-Prammer-Allee 9,, ,,9,9,Barbara-Prammer-Allee,236610989,25766643,46020227,,,,9,,9.0,,1220,5647,5647,,POINT (48.22964770487275 16.50845946746404),5647002009,,G  ,,,,,AT92201,0,1,22,25766642,2021-10-29,0, ,8.02,13095.77,343474.38,
ADRESSENOGD.fid-705841fe_17da474b376_-133b,5009,73838,2011-11-14,,,,,,,10042029,90001,1,AT92201,22114001,10021331,,22,8012,,,,25519961,d,definitiv,2011-11-14,0, ,312.26000977,6644.15,343229.74,H, ,Normal,Schüttaustraße 50,, ,,50,50,Schüttaustraße,236548312,10164613,10004279,,,,50,,50.0,2.0,1220,4376,4376,,POINT (48.22742323192669 16.42155961789523),4376005009,2.0,G  ,,,,,AT92201,0,1,22,25054371,2009-05-29,0, ,312.37,6639.0,343234.55,
ADRESSENOGD.fid-705841fe_17da459ca88_370e,2009,130729,2018-07-11,,,,,,,10043202,90001,1,AT90201,2067020,19012507,,2,8012,15,,15.0,25534996,d,definitiv,2018-07-11,10,Parz.,63.77999878,6475.16,339714.12,H, ,Normal,KLG Wasserwiese Gr. 24 Parz. 15,, Parz. 15,Parz. 15,24,24 Parz. 15,KLG Wasserwiese Gr.,236651933,25737613,44542200,,,,24,,24.0,,1020,90118,4647,,POINT (48.19580813939788 16.41923388296129),4647002009,,TB ,,,,,AT90201,0,1,2,25737599,2018-07-11,0, ,65.89,6418.39,339782.8,
ADRESSENOGD.fid-705841fe_17da459ca88_6e66,3009,56839,2007-07-24,,,,,,,10038789,90001,1,AT91801,18030001,10018249,,18,8012,4,,4.0,25527167,d,definitiv,2008-12-10,3,Stg.,67.02999878,-17.35,343345.44,I, ,Normal,Paulinengasse 15/4,, Stg. 4,Stg. 4,15,15/4,Paulinengasse,236392165,10138807,10003515,,,,15,,15.0,2.0,1180,3594,3594,,POINT (48.22849535900911 16.33189926118022),3594003009,1.0,G  ,210600.0,,,,AT91801,0,1,18,25067505,2008-12-10,0, ,66.9,-34.13,343285.69,
ADRESSENOGD.fid-705841fe_17da473f28d_-79a0,1009,147491,2011-12-06,,,,,,,10044928,90001,0,AT91801,18051002,10018427,,18,8012,84,,84.0,25631556,d,definitiv,2011-12-06,10,Parz.,73.93000031,-1943.34,344054.78,H, ,Normal,Vereinsweg 9,, Parz. 84,Parz. 84,9,9,Vereinsweg,236649779,10260027,10004959,,,,9,,9.0,2.0,1180,5063,5063,,POINT (48.23487070632054 16.30597216331636),5063001009,1.0,K  ,,,,,AT91801,0,1,18,25125477,2009-04-03,0, ,69.31,-1932.19,344051.06,
ADRESSENOGD.fid--6deaaebc_17da4737f8e_-3fe0,28019,190891,2019-10-23,,,,,,,10023700,90001,1,AT92301,23031001,10022454,,23,8012,1,,1.0,25562636,d,definitiv,2019-10-23,10,Parz.,280.8999939,-831.24,334898.86,I, ,Normal,Altmannsdorfer Straße 167-177 Parz. 1,, Parz. 1,Parz. 1,167-177,167-177 Parz. 1,Altmannsdorfer Straße,236413890,10315711,10000097,,177.0,177,167,,167.0,2.0,1230,101,101,,POINT (48.15253228274163 16.32096699909502),101028019,1.0,G  ,,,,,AT92301,0,1,23,25043791,2008-12-10,1,-,280.9,-882.05,335011.49,
ADRESSENOGD.fid--6deaaebc_17da467791b_e9f,2009,18878,2007-07-24,,,,,,,10032428,90001,1,AT91001,10160004,10014122,,10,8012,12,,12.0,25682320,d,definitiv,2008-12-10,2,/,315.47000122,4440.54,335283.01,I, ,Normal,Holzknechtstraße 41-45/12,,/12,/12,41-45,41-45/12,Holzknechtstraße,236445943,10083164,10002014,,45.0,45,41,,41.0,2.0,1100,2069,2069,,POINT (48.15597453803073 16.39182272736807),2069002009,1.0,G  ,207839.0,,,,AT91001,0,1,10,25047812,2008-12-10,1,-,305.42,4442.54,335253.52,
ADRESSENOGD.fid-705841fe_17da459ca88_469c,4009,105501,2018-04-27,,,,,,,10038320,90001,1,AT91701,17052028,10018071,,17,8012,210,,210.0,25557750,d,definitiv,2012-01-13,10,Parz.,0.0,-2598.05,342937.08,I, ,Normal,Oberwiedenstraße 26 Parz. 210,, Parz. 210,Parz. 210,26,26 Parz. 210,Oberwiedenstraße,236388643,10463230,10003396,,,,26,,26.0,2.0,1170,3472,3472,,POINT (48.22481639758617 16.29716644855708),3472004009,2.0,G  ,,,,,AT91701,0,1,17,25696577,2018-04-27,0, ,0.0,-2556.36,342982.66,
ADRESSENOGD.fid-705841fe_17da473f28d_-4dcc,2009,61711,2018-05-07,,,,,,,10037262,90001,1,AT91901,19100020,10466454,,19,8012,1,,1.0,25548196,d,definitiv,2018-05-07,6,Haus,269.85998535,-2893.18,345845.73,H, ,Normal,Michaelerwaldweg 6 Haus 1,, Haus 1,Haus 1,6,6 Haus 1,Michaelerwaldweg,236567628,10145915,10003129,,,,6,,6.0,2.0,1190,3201,3201,,POINT (48.25097297594168 16.29317250422963),3201002009,2.0,G  ,,,,,AT91901,0,1,19,25136002,2008-12-10,0, ,271.66,-2902.87,345857.04,
ADRESSENOGD.fid-705841fe_17da459ca88_1e94,1009,124500,2014-10-28,,,,,,,10051014,90001,1,AT90201,2080098,19012564,,2,8012,50,,50.0,25515341,d,definitiv,2014-10-28,10,Parz.,325.45001221,6793.62,339107.23,H, ,Normal,Kanalwächterhausweg 23 Parz. 50,, Parz. 50,Parz. 50,23,23 Parz. 50,Kanalwächterhausweg,236420655,10477691,10008693,,,,23,,23.0,2.0,1020,12621,12621,,POINT (48.19034705180781 16.42350835852552),12621001009,,G  ,,,,,AT90201,0,1,2,25691913,2009-03-17,0, ,325.45,6776.84,339065.61,
ADRESSENOGD.fid--6deaaebc_17da4737f8e_-1e2,1009,176796,2007-07-24,,,,,,,10042948,90001,1,AT92301,23143002,10023060,,23,8012,,,,25618421,d,definitiv,2008-12-10,0, ,84.12000275,-4840.34,334239.0,H, ,Normal,Sommerschuhgasse 12,, ,,12,12,Sommerschuhgasse,236610657,10296015,10004470,,,,12,,12.0,2.0,1230,4569,4569,,POINT (48.14657818770344 16.26709310841117),4569001009,2.0,G  ,,,,,AT92301,0,1,23,25028705,2008-12-10,0, ,84.12,-4843.82,334237.5,
ADRESSENOGD.fid--6deaaebc_17da467791b_5dba,2009,22636,2017-08-24,,,,,,,10037431,90001,1,AT91101,11022001,10014484,,11,8012,6,,6.0,25587041,d,definitiv,2017-08-24,2,/,307.67999268,5725.45,338168.01,I, ,Normal,Molitorgasse 4-8/6,,/6,/6,4-8,4-8/6,Molitorgasse,236402161,10087982,10003183,,8.0,8,4,,4.0,2.0,1110,3255,3255,,POINT (48.18191046927279 16.40912971155778),3255002009,2.0,G  ,209968.0,,,,AT91101,0,1,11,25086764,2017-08-24,1,-,35.05,5771.67,338233.27,
ADRESSENOGD.fid--6deaaebc_17da467791b_30bb,1009,18209,2007-07-24,,,,,,,10047191,90001,1,AT91001,10110001,10013927,,10,8012,,,,25643043,d,definitiv,2008-12-10,0, ,45.25,1517.84,336603.3,H, ,Normal,Weigandhof 9,, ,,9,9,Weigandhof,236562613,10081715,10005566,,,,9,,9.0,2.0,1100,5698,5698,,POINT (48.16786061125091 16.35254316398286),5698001009,2.0,G  ,,,,,AT91001,0,1,10,25023529,2008-12-10,0, ,45.33,1516.52,336607.89,
ADRESSENOGD.fid-705841fe_17da473f28d_7483,1009,80558,2007-07-24,,,,,,,10025182,90001,1,AT92201,22101037,19015985,,22,8012,,,,25605628,d,definitiv,2008-12-10,0, ,57.29000092,6883.23,345049.48,H, ,Normal,Bellinigasse 12,, ,,12,12,Bellinigasse,236398524,10172841,10000394,,,,12,,12.0,2.0,1220,408,408,,POINT (48.24378597552271 16.42480579140302),408001009,2.0,G  ,,,,,AT92201,0,1,22,25099442,2008-12-10,0, ,57.5,6875.73,345053.02,
ADRESSENOGD.fid-705841fe_17da473f28d_3143,7009,72656,2007-07-24,,,,,,,10041189,90001,1,AT92101,21053016,10019741,,21,8012,58,,58.0,25572568,d,definitiv,2008-12-10,2,/,10.42000008,8453.06,347646.45,H, ,Normal,St.-Michael-Gasse 23/58,,/58,/58,23,23/58,St.-Michael-Gasse,236595903,10162816,10004070,,,,23,,23.0,2.0,1210,4157,4157,,POINT (48.26712261903181 16.44599160075657),4157007009,1.0,G  ,211577.0,,,,AT92101,0,1,21,25054797,2008-12-10,0, ,4.43,8497.06,347640.41,
ADRESSENOGD.fid--6deaaebc_17da467791b_-5817,2009,5894,2007-07-24,,,,,,,10043456,90001,1,AT90301,3054002,10012189,,3,8012,,,,25617643,d,definitiv,2008-12-10,0, ,50.99000168,4576.58,339428.21,H, ,Normal,Steingasse 28,, ,,28,28,Steingasse,236400257,10061693,10004595,,,,28,,28.0,2.0,1030,4694,4694,,POINT (48.19325253210679 16.39369291862191),4694002009,2.0,G  ,,,,,AT90301,0,1,3,25018886,2008-12-10,0, ,49.6,4579.24,339428.7,
ADRESSENOGD.fid--6deaaebc_17da472a163_5d0,2029,41681,2007-07-24,,,,,,,10047030,90001,1,AT91401,14113035,19014666,,14,8012,,,,25652590,d,definitiv,2008-12-10,0, ,277.94000244,-6145.69,341346.45,H, ,Normal,Grenzweg 21,, ,,21,21,Grenzweg,236409715,10116165,10005474,,,,21,,21.0,2.0,1140,5592,5592,,POINT (48.21048543412345 16.2494437187198),5592002029,2.0,G  ,,,,,AT91401,0,1,14,25027425,2021-10-29,0, ,278.67,-6152.01,341347.94,
ADRESSENOGD.fid-705841fe_17da474b376_2159,1009,252262,2020-06-30,,,,,,,10027918,90001,1,AT92201,22040058,10020885,,22,8012,2,,2.0,25781880,v,vorgesehen,2020-06-30,6,Haus,346.30999756,14769.87,342642.65,H, ,Normal,Ennemosergasse 5 Haus 2,, Haus 2,Haus 2,5,5 Haus 2,Ennemosergasse,236634585,25781883,10001030,,,,5,,5.0,2.0,1220,1067,1067,,POINT (48.22201015168133 16.53090700518818),1067001009,1.0,G  ,,,,,AT92201,0,1,22,25010771,2008-12-10,0, ,346.31,14755.29,342624.33,
ADRESSENOGD.fid--6deaaebc_17da472a163_-16e9,4009,35432,2007-07-24,,,,,,,10043739,90001,1,AT91301,13110021,10016023,,13,8012,,,,25537264,d,definitiv,2008-12-10,0, ,277.29998779,-4470.64,335711.79,H, ,Normal,Streitmanngasse 51,, ,,51,51,Streitmanngasse,236567338,10107152,10004672,,,,51,,51.0,2.0,1130,4771,4771,,POINT (48.15982630829983 16.27204476100123),4771004009,1.0,G  ,,,,,AT91301,0,1,13,25083739,2008-12-10,0, ,276.75,-4464.04,335719.19,
ADRESSENOGD.fid-705841fe_17da459ca88_2fd5,1509,233009,2014-05-21,,,,,,,10473765,90001,1,AT90201,2010033,19011006,,2,8012,,,,25720079,d,definitiv,2014-05-21,0, ,308.82000732,4621.91,343103.53,H, ,Normal,Ernst-Melchior-Gasse 3,, ,,3,3,Ernst-Melchior-Gasse,236614963,25720081,10006100,,,,3,,3.0,2.0,1020,6277,6277,,POINT (48.22630515953213 16.3943400653809),6277001509,,G  ,,,,,AT90201,0,1,2,25717104,2011-05-18,0, ,308.82,4623.76,343101.88,
ADRESSENOGD.fid--6deaaebc_17da4737f8e_-423,3009,242952,2021-08-13,,,,,,,10026487,90001,1,AT92301,23083008,10022730,,23,8012,,,,25754104,d,definitiv,2021-08-13,0, ,47.09000015,-1746.51,335345.32,H, ,Normal,Chromygasse 18,, ,,18,18,Chromygasse,236613171,25754105,10000680,,,,18,,18.0,2.0,1230,705,705,,POINT (48.15654516232821 16.30866366221722),705003009,2.0,G  ,,,,,AT92301,0,1,23,25073810,2016-11-24,0, ,47.09,-1751.08,335346.62,
ADRESSENOGD.fid-705841fe_17da459ca88_5174,1019,133808,2017-01-18,,,,,,,18985328,90001,1,AT91701,17040023,19013805,,17,8012,49,,49.0,25628382,d,definitiv,2016-03-03,10,Parz.,327.85998535,-2180.34,344017.56,H, ,Normal,Molnargasse 2 Parz. 49,, Parz. 49,Parz. 49,2,2 Parz. 49,Molnargasse,236473257,10389469,10003187,,,,2,,2.0,2.0,1170,3259,3259,,POINT (48.23453513251682 16.30278208928021),3259001019,2.0,G  ,,,,,AT91701,0,1,17,25056489,2017-01-18,0, ,40.83,-2219.61,344059.27,
ADRESSENOGD.fid-705841fe_17da474b376_-75dd,4009,74503,2020-11-06,,,,,,,10032465,90001,1,AT92201,22120014,10021384,,22,8012,,,,25612456,d,definitiv,2008-12-10,0, ,316.14001465,7883.54,344448.75,H, ,Normal,Hovenweg 43,, ,,43,43,Hovenweg,236433166,10165651,10002025,,,,43,,43.0,2.0,1220,2080,2080,,POINT (48.23837234322134 16.43826295482951),2080004009,1.0,G  ,,,,,AT92201,0,1,22,25143605,2020-11-06,0, ,311.88,7869.04,344420.22,
ADRESSENOGD.fid-705841fe_17da459ca88_644a,1009,184713,2008-06-26,,,,,,,10045381,90001,1,AT91701,17060011,10018095,,17,8012,,,,25609187,d,definitiv,2008-12-10,0, ,44.11000061,-4277.55,346034.8,H, ,Normal,Waldrandweg 1,, ,,1,1,Waldrandweg,236600542,10307058,10005039,,,,1,,1.0,2.0,1170,5144,5144,,POINT (48.25266480634206 16.27452900380355),5144001009,1.0,G  ,,,,,AT91701,0,1,17,25018088,2008-12-10,0, ,46.2,-4276.84,346032.65,
ADRESSENOGD.fid--6deaaebc_17da4737f8e_eea,43019,87789,2007-07-24,,,,,,,10025866,90001,1,AT92301,23073012,10022671,,23,8012,,,,25515003,d,definitiv,2008-12-10,0, ,342.63000488,-2991.89,333674.91,I, ,Normal,Breitenfurter Straße 341,, ,,341,341,Breitenfurter Straße,236654915,10182235,10000559,,,,341,,341.0,2.0,1230,575,575,,POINT (48.14151738337808 16.29193752071578),575043019,1.0,G  ,,,,,AT92301,0,1,23,25023160,2008-12-10,0, ,73.72,-3003.31,333670.5,
ADRESSENOGD.fid--6deaaebc_17da472a163_3d29,3009,41155,2007-07-24,,,,,,,10033944,90001,1,AT91401,14104008,10016583,,14,8012,3,,3.0,25598230,d,definitiv,2008-12-10,2,/,66.44999695,-5223.54,340031.19,H, ,Normal,Keißlergasse 18/3,,/3,/3,18,18/3,Keißlergasse,236609698,10115499,10002361,,,,18,,18.0,2.0,1140,2420,2420,,POINT (48.19866569955061 16.26186836806092),2420003009,2.0,G  ,208511.0,,,,AT91401,0,1,14,25073973,2008-12-10,0, ,339.15,-5234.46,339975.29,
ADRESSENOGD.fid--6deaaebc_17da472a163_387f,59019,98928,2007-07-24,,,,,,,10036154,90001,1,AT91401,14103004,10016569,,14,8012,,,,25554611,d,definitiv,2008-12-10,0, ,84.83000183,-6502.74,340483.23,H, ,Normal,Linzer Straße 451C,, ,,451C,451C,Linzer Straße,236586113,10197294,10002855,,,,451C,C,451.0,2.0,1140,2923,2923,,POINT (48.2027185915266 16.24465343031013),2923059019,1.0,G  ,,,,,AT91401,0,1,14,25107162,2008-12-10,0, ,4.26,-6505.38,340541.76,
