# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 10
T 1000

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C 100 173
C -100 173
C 0 0

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 128 92 32 -7 285.804 4
0 139 214 274 117 342.47 7
0 -6 67 119 179 345.672 8
0 181 64 108 186 294.345 6
0 85 73 112 159 190.278 4
0 -27 250 -58 269 82.7186 6
0 117 186 192 114 217.933 7
0 32 89 116 116 186.465 3
0 99 217 51 102 259.231 10
0 37 54 252 210 541.266 2
1 -143 150 -138 164 39.7321 3
1 -252 272 -140 80 454.558 8
1 -186 162 -92 274 302.438 1
1 -180 205 -68 135 274.151 10
1 -233 120 -235 69 112.078 4
1 -213 275 -100 173 314.454 7
1 -98 209 -125 19 393.818 1
1 -143 276 -2 114 439.535 7
1 -142 158 -50 181 199.663 3
1 -35 268 -64 68 414.183 7
2 26 -5 -19 -33 116 2
2 5 1 -41 120 265.163 9
2 -89 -125 68 -83 335.042 8
2 -18 -28 9 1 89.2465 10
2 -92 -42 50 86 392.351 3
2 7 33 -79 10 188.045 1
2 -120 -23 -99 40 142.816 3
2 -33 -15 38 16 164.945 4
2 -92 -102 77 -28 378.982 8
2 72 -17 46 -5 67.2713 6
