# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 15
T 1200

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C -200 -100
C -200 100
C 0 -100
C 0 100
C 200 -100
C 200 100

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 -205 -99 -161 20 263.748 4
0 -231 -92 -211 -130 95.8836 7
0 -200 -100 -200 -102 14 8
0 -310 -137 -214 -121 204.648 6
0 -76 -55 -110 50 230.735 4
0 -215 -111 -165 -38 186.963 6
0 -232 -68 -258 13 180.141 7
0 -310 35 -288 5 84.4043 3
0 -220 -77 -191 -9 157.851 10
0 -247 -255 -360 -200 261.348 2
0 -187 -113 -153 -262 315.66 3
0 -241 -54 -214 -243 391.838 8
0 -209 -102 -221 -154 116.733 1
0 -301 -191 -318 -221 78.9638 10
0 -295 -246 -267 -162 187.088 4
1 -147 218 -345 126 446.66 7
1 -222 44 -337 164 342.415 1
1 -233 12 -203 101 197.84 7
1 -115 127 -233 -6 365.601 3
1 -192 222 -110 160 215.602 7
1 -277 141 -255 152 59.1935 2
1 -319 93 -40 172 589.938 9
1 -206 48 -220 114 144.937 8
1 -262 100 -57 164 439.516 10
1 -287 95 -286 214 248.008 3
1 -176 76 -199 102 79.4262 1
1 -192 119 -48 -15 403.406 3
1 -325 234 -314 237 32.8035 4
1 -338 182 -124 190 438.299 8
1 -18 101 -178 92 330.506 6
2 116 -113 130 -91 62.1536 10
2 -135 -54 -2 -91 286.101 3
2 -55 19 -12 -21 127.456 3
2 183 -29 60 22 276.308 9
2 -31 23 -151 -208 530.619 10
2 108 -112 156 -7 240.903 8
2 -2 -99 37 -59 121.732 4
2 -97 -202 8 -88 319.974 7
2 108 -75 149 -107 114.019 2
2 -90 -25 44 -215 474.999 3
2 -93 -120 -3 -108 191.593 10
2 -8 -289 9 -168 254.377 4
2 94 -114 -110 48 530.999 2
2 -93 -221 -40 -118 241.672 10
2 -111 -50 -85 -266 445.118 5
3 -50 86 -103 47 141.605 8
3 32 115 -24 69 154.941 9
3 125 90 -46 86 352.094 5
3 -19 76 -100 11 217.711 6
3 147 71 192 93 110.18 1
3 130 160 -29 34 415.744 4
3 -47 90 39 92 182.047 7
3 -157 209 -158 8 412.005 2
3 -33 182 -186 110 348.189 1
3 68 31 -46 73 252.981 7
3 0 100 -10 97 30.8806 4
3 -18 52 90 148 298.998 3
3 -46 93 -70 16 171.307 1
3 -117 -26 -45 83 271.266 7
3 0 100 -4 22 166.205 2
4 126 -148 307 -140 372.353 6
4 44 -98 141 -126 211.921 6
4 297 -116 129 -50 370.999 5
4 151 -65 179 -228 340.775 8
4 345 1 149 -51 415.561 7
4 171 -73 202 -98 89.6492 6
4 158 -116 233 -47 213.823 7
4 367 -193 194 52 609.847 10
4 207 -296 37 -84 553.485 4
4 152 59 89 -99 350.194 8
4 177 51 269 -110 380.864 5
4 215 -26 381 -64 350.588 6
4 199 -91 194 -53 86.6551 3
4 220 1 140 -84 243.452 6
4 232 -142 224 -282 290.457 5
5 151 180 82 245 199.589 8
5 139 248 225 157 260.416 5
5 137 2 143 100 206.367 5
5 334 157 220 29 352.812 4
5 253 61 279 27 95.6037 1
5 66 111 123 -43 338.42 8
5 239 136 37 -9 507.309 9
5 136 273 201 289 143.881 7
5 194 69 175 197 268.805 9
5 274 -23 207 136 355.08 9
5 323 128 207 182 265.906 5
5 117 272 287 230 360.223 4
5 201 86 309 75 227.117 2
5 313 184 199 86 310.666 5
5 96 89 220 100 258.974 10
