# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 15
T 1750

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C -200 -100
C -200 100
C 0 -100
C 0 100
C 200 -100
C 200 100

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 -113 -251 -366 135 933.049 4
0 -447 -126 -241 -353 623.074 7
0 -136 -63 -79 -346 587.366 8
0 -111 131 -194 -99 499.036 6
0 -275 -63 -226 -197 295.356 4
0 -193 -106 -297 8 318.623 6
0 -232 13 -205 -118 277.507 7
0 -32 -39 -150 -305 591.997 3
0 -99 -90 -193 -86 198.17 10
0 -395 -202 -179 -78 508.124 2
0 -293 -255 -117 -136 434.909 3
0 -33 -52 -55 -251 410.425 8
0 -237 44 -73 124 374.944 1
0 -322 -11 -296 -141 275.149 10
0 -203 -64 -156 -66 104.085 4
1 -132 -31 -178 -23 103.381 7
1 -389 86 -93 160 620.22 1
1 -112 -131 95 120 660.692 7
1 -232 50 -317 224 397.303 3
1 -394 202 -220 -30 590 7
1 -213 272 -389 275 362.051 2
1 -196 105 -52 -158 609.683 9
1 -204 100 -370 70 347.378 8
1 -89 47 -45 247 419.566 10
1 -425 200 -287 149 304.245 3
1 -133 143 -264 -171 690.462 1
1 -268 84 -170 328 535.89 3
1 -277 228 37 173 647.561 4
1 -200 108 -375 177 386.223 8
1 -260 -142 -340 182 677.461 6
2 166 -293 208 -160 288.948 10
2 233 41 -74 -1 629.719 3
2 -172 -268 285 -150 953.977 3
2 -159 -74 139 -91 606.969 9
2 -28 -153 101 -22 377.706 10
2 5 -261 -9 -119 295.377 8
2 5 -99 -38 -23 184.642 4
2 141 -2 22 -85 300.172 7
2 230 -115 221 -136 55.6946 2
2 25 -110 -285 -136 632.177 3
2 -184 -202 -206 -17 382.607 10
2 126 -56 -163 -344 826.002 4
2 -141 66 108 -61 569.035 2
2 -6 -97 -30 -118 73.7809 10
2 -234 -126 -137 64 436.657 5
3 -69 207 -134 -19 480.323 8
3 -41 327 6 -146 960.659 9
3 219 -83 123 86 398.726 5
3 -121 -69 -26 47 309.873 6
3 -196 121 -262 217 242.998 1
3 -180 294 173 -65 1016.96 4
3 264 202 -69 71 725.682 7
3 289 91 3 104 582.591 2
3 -79 258 -41 100 335.011 1
3 222 189 -208 100 888.228 7
3 79 -154 74 5 328.157 4
3 8 142 0 100 95.5102 3
3 -90 200 98 -143 792.286 1
3 76 -130 -28 91 498.496 7
3 -5 130 -101 151 206.54 2
4 165 -161 375 -181 431.9 6
4 36 -329 209 -112 565.042 6
4 2 -99 365 -324 864.152 5
4 338 -220 195 -300 337.713 8
4 335 -109 428 0 296.566 7
4 283 13 216 -87 250.741 6
4 170 -351 244 33 792.13 7
4 205 -109 10 -6 451.062 10
4 82 -344 168 -124 482.424 4
4 174 -98 81 -85 197.808 8
4 346 -185 424 -72 284.612 5
4 209 -86 96 -363 608.324 6
4 181 -155 113 -224 203.752 3
4 205 -165 475 -44 601.747 6
4 235 17 273 -93 242.757 5
5 170 146 -17 -12 499.624 8
5 200 72 251 175 239.87 5
5 144 211 350 2 596.914 5
5 94 329 34 -29 735.986 4
5 454 55 55 218 872.021 1
5 388 -111 -43 9 904.787 8
5 218 101 150 158 187.46 9
5 248 83 229 182 211.613 7
5 206 99 129 128 174.56 9
5 384 153 293 -20 400.948 9
5 238 165 90 351 485.395 5
5 130 320 200 121 431.905 4
5 139 243 218 269 176.337 2
5 63 325 220 172 448.443 5
5 275 105 202 97 156.874 10
