# VRP parameters: V = num of vehicles, L = max_load, T = max_tour_length
V 3
L 15
T 1600

# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C 200 0
C 100 173
C -99 173
C -200 0
C -100 -173
C 100 -173

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 470 -86 1 -196 973.454 4
0 207 -11 225 -126 242.8 7
0 45 -28 133 124 361.272 8
0 231 -71 238 -274 416.241 6
0 74 169 343 118 557.584 4
0 186 -50 197 0 112.391 6
0 22 -74 42 -26 114 7
0 229 35 195 30 78.7314 3
0 74 -75 190 -203 355.485 10
0 -12 -199 284 11 735.854 2
0 245 -80 320 -216 320.619 3
0 275 -7 200 0 160.652 8
0 220 -109 312 -58 220.381 1
0 -61 48 433 -76 1028.65 10
0 194 21 117 -13 178.345 4
1 136 135 258 211 297.472 7
1 107 173 -158 79 572.356 1
1 367 147 74 26 644.003 7
1 16 247 147 171 312.899 3
1 51 154 69 163 50.2492 7
1 88 256 -86 -4 635.703 2
1 -123 61 98 194 525.868 9
1 55 219 22 297 179.387 8
1 248 233 115 164 309.666 10
1 304 -28 118 184 574.057 3
1 253 -65 13 17 517.244 1
1 96 412 141 230 384.961 3
1 216 213 180 113 222.565 4
1 237 399 90 131 621.336 8
1 226 -74 67 286 797.098 6
2 134 74 137 59 40.5941 10
2 41 292 -105 187 369.672 3
2 -103 185 -214 -88 599.406 3
2 -70 282 -98 162 256.447 9
2 -3 86 -14 87 32.0907 10
2 -315 100 41 273 801.619 8
2 -358 164 30 -85 932.052 4
2 -203 299 -233 233 154.997 7
2 -106 -106 -216 238 732.318 2
2 91 211 -199 446 756.525 3
2 -247 183 -216 235 131.078 10
2 -280 34 -236 270 490.133 4
2 -189 93 -175 367 558.715 2
2 -79 212 -340 107 572.658 10
2 -94 202 3 59 355.589 5
3 -326 -200 -113 90 729.636 8
3 48 -119 -174 104 639.327 9
3 -156 114 -148 -200 638.204 5
3 -248 -40 -254 -26 40.4631 6
3 -338 -62 -48 -196 648.924 1
3 -356 137 -198 -38 481.546 4
3 -200 32 -48 60 319.115 7
3 -355 -96 -207 -159 331.702 2
3 -211 115 -9 27 450.672 1
3 -305 91 -220 -7 269.453 7
3 45 -166 -12 133 618.769 4
3 -494 -11 -219 -196 672.873 3
3 -200 0 -214 -70 152.773 1
3 -260 -84 -364 -146 252.157 7
3 -210 19 -224 55 87.2528 2
4 160 -246 -377 -76 1136.53 6
4 29 -85 65 -184 220.685 6
4 124 -122 -107 -223 514.23 5
4 -70 -108 -139 -184 215.3 8
4 -172 -173 -100 -172 154.014 7
4 32 -319 -155 -34 691.745 6
4 -105 -230 -131 -197 94.0238 7
4 -165 -96 27 -54 403.08 10
4 -111 -157 100 -383 628.375 4
4 -304 -231 -161 -155 333.883 8
4 -288 -274 -69 -146 517.326 5
4 -90 -283 -56 13 605.893 6
4 -129 -346 -241 -19 701.297 3
4 -107 -213 137 -221 498.262 6
4 -78 -267 -45 -38 472.731 5
5 -125 -12 338 -265 1065.23 8
5 127 -133 78 -89 141.712 5
5 298 -103 51 -245 579.818 5
5 86 -175 241 -193 322.083 4
5 50 -62 -50 -87 216.155 1
5 32 -179 95 -199 142.197 8
5 69 -254 154 -174 243.452 9
5 65 -121 177 -400 611.282 7
5 -39 -89 -141 -177 279.429 9
5 95 -161 68 -133 87.7946 9
5 89 -276 36 -185 220.618 5
5 68 -272 163 -160 303.728 4
5 35 -162 218 58 582.325 2
5 229 -382 296 -253 300.723 5
5 26 -413 96 -174 508.08 10
