# carrier depots: C x y
# one line per carrier, number of carriers defined by number of lines
C 100 173
C -100 173
C 0 0

# requests: carrier_index pickup_x pickup_y delivery_x delivery_y revenue
# carrier_index = line index of carriers above
0 4 115 64 85 144.164
0 26 190 184 16 480.064
0 18 219 132 138 289.693
0 152 326 75 216 278.544
0 98 169 177 195 176.337
0 142 352 291 202 432.852
0 142 208 47 36 402.983
0 125 135 110 167 80.6824
0 98 201 -51 168 315.221
0 184 263 23 136 420.122
0 227 250 28 351 456.327
0 180 195 251 46 340.103
0 132 143 24 209 263.14
0 81 133 99 226 199.452
0 103 32 7 149 312.688
1 -171 356 -102 175 397.412
1 -96 52 -121 145 202.603
1 -24 133 -60 8 270.161
1 -105 179 -113 223 99.4427
1 -105 174 -228 213 268.07
1 -45 56 -44 232 362.006
1 -119 125 -203 322 438.322
1 -183 -2 -167 228 471.112
1 -149 43 -113 341 610.333
1 -100 173 -123 117 131.078
1 -62 104 -117 152 156
1 -136 363 -208 93 568.87
1 -43 56 -104 175 277.447
1 -126 141 -192 176 159.412
1 -155 117 -290 204 331.21
2 -96 43 64 0 341.355
2 123 -10 -10 61 311.529
2 67 -67 115 -17 148.622
2 65 84 0 17 196.698
2 147 -100 3 -4 356.133
2 -97 -81 -17 19 266.125
2 -49 -6 -3 15 111.134
2 10 -146 53 -146 96
2 190 -32 -2 -4 398.062
2 -97 54 146 8 504.631
2 -8 93 184 1 435.807
2 154 -44 -6 -1 341.355
2 23 -55 0 0 129.231
2 174 29 -78 75 522.328
2 70 -69 58 17 183.666
